avg_temperature,max_temperature,temperature_variance,time_above_safe,overheat_events,total_energy,avg_cooling_power,cumulative_reward,avg_reward,episode_length,algorithm,scenario,seed
46.12453265417089,72.87239532950163,344.5749124047494,486,10723,40439.84999999999,80.87969999999999,-5775.284164649585,-11.550568329299171,500,rule_based,alibaba_replay,42
21.307202896157577,41.932505933203565,4.930905398228529,71,158,16588.799999999992,33.177599999999984,260.0488670128798,0.5200977340257595,500,rule_based,workload_burst,42
17.696727163269426,40.43598066757455,1.937060712932776,367,743,23295.599999999988,46.59119999999997,-422.8192057822471,-0.8456384115644942,500,rule_based,moving_hotspot,42
15.710851230193944,64.70284239744787,2.6431462037528046,496,3968,29321.99999999999,58.64399999999998,-1648.857070596809,-3.297714141193618,500,rule_based,multi_hotspot,42
28.7209712886734,70.7637438245563,428.04590216354126,290,8851,59012.94,118.02588,-2297.0232423093676,-4.594046484618735,500,q_learning,alibaba_replay,42
0.36564348013365766,20.031255283009735,2.1551591126386587,0,0,63987.509999999966,127.97501999999993,61.557762491152324,0.12311552498230464,500,q_learning,workload_burst,42
0.437825403254958,23.033277547357986,2.503607375110599,0,0,64799.99999999996,129.59999999999994,53.17921971595926,0.10635843943191853,500,q_learning,moving_hotspot,42
4.719784222565462,26.594367695254977,1.3937487096721104,0,0,64799.99999999996,129.59999999999994,-200.08231579938368,-0.40016463159876736,500,q_learning,multi_hotspot,42
31.20481981139631,71.29979091184416,378.9029169814,327,8871,56672.88000000002,113.34576000000004,-2725.1789216287107,-5.450357843257422,500,sarsa,alibaba_replay,42
0.35685671193727675,20.031255283009735,2.1454210375917513,0,0,64186.07999999997,128.37215999999995,59.33494986369365,0.1186698997273873,500,sarsa,workload_burst,42
0.437825403254958,23.033277547357986,2.503607375110599,0,0,64799.99999999996,129.59999999999994,53.17921971595926,0.10635843943191853,500,sarsa,moving_hotspot,42
4.719784222565462,26.594367695254977,1.3937487096721104,0,0,64799.99999999996,129.59999999999994,-200.08231579938368,-0.40016463159876736,500,sarsa,multi_hotspot,42
30.600228941904223,58.753753646180336,228.11804616685933,316,9475,55545.749999999985,111.09149999999997,-1745.1232736161069,-3.4902465472322137,500,monte_carlo,alibaba_replay,42
0.40026198655112605,20.031255283009735,2.2059824053189865,0,0,63727.55999999997,127.45511999999994,65.90840369144232,0.13181680738288462,500,monte_carlo,workload_burst,42
0.437825403254958,23.033277547357986,2.503607375110599,0,0,64799.99999999996,129.59999999999994,53.17921971595926,0.10635843943191853,500,monte_carlo,moving_hotspot,42
4.719784222565462,26.594367695254977,1.3937487096721104,0,0,64799.99999999996,129.59999999999994,-200.08231579938368,-0.40016463159876736,500,monte_carlo,multi_hotspot,42
29.75571951003514,57.55305426774622,410.5392549586822,309,9637,57893.07000000001,115.78614000000002,-1928.7099218420014,-3.857419843684003,500,value_iteration,alibaba_replay,42
0.3581209979290976,20.031255283009735,2.1450478883680733,0,0,64147.97999999997,128.29595999999992,60.59467012879513,0.12118934025759026,500,value_iteration,workload_burst,42
0.437825403254958,23.033277547357986,2.503607375110599,0,0,64799.99999999996,129.59999999999994,53.17921971595926,0.10635843943191853,500,value_iteration,moving_hotspot,42
4.719784222565462,26.594367695254977,1.3937487096721104,0,0,64799.99999999996,129.59999999999994,-200.08231579938368,-0.40016463159876736,500,value_iteration,multi_hotspot,42
